Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,6
4.6.a.c.7.7.e.f.f.f.7.b.9.a.8.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.001,7
7.7.3.f.5.f.5.9.2.b.e.6.3.c.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,12,0,0.0,8
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.0,9
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.075,10
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,11
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.028,12
6.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.001,13
53.0.0.127.in-addr.arpa,12,0,0.893,14
2.10.20.172.in-addr.arpa,12,0,0.0,15
1.10.20.172.in-addr.arpa,12,0,0.0,16
53.0.0.127.in-addr.arpa,12,0,0.0,17
2.10.20.172.in-addr.arpa,12,1,0.0,18
1.10.20.172.in-addr.arpa,12,1,0.0,19
2.10.20.172.in-addr.arpa,12,1,0.008,20
2.10.20.172.in-addr.arpa,12,0,0.0,21
2.10.20.172.in-addr.arpa,12,0,0.005,22
2.10.20.172.in-addr.arpa,12,0,0.0,23
1.10.20.172.in-addr.arpa,12,1,0.038,24
1.10.20.172.in-addr.arpa,12,0,0.0,25
1.10.20.172.in-addr.arpa,12,0,0.005,26
1.10.20.172.in-addr.arpa,12,0,0.0,27
p29-docws.icloud.com,1,1,2.668,28
p29-docws.icloud.com,28,1,0.0,29
p29-docws.icloud.com,1,1,0.0,30
p29-docws.icloud.com,28,1,0.0,31
p29-docws.icloud.com,28,1,0.079,32
p29-docws.icloud.com,28,1,0.0,33
